brian,BPName,Account#,Contract#,ContractStartDt,ContractEndDt,Rate,Premise#,PremiseAddress,UsageMonth,Invoice#,Bill#,BillPeriodStartDate,BillPeriodEndDate,BillPeriodDays,BillAmount,kWhQty,BilledkW,ActualkW,BLC,Meter#
10255635,BOISE STATE UNIVERSITY,2223505682,32585955,11/23/2017,NULL,I01,60100954,1301 S CHRISWAY DR 301 /BOISE ID 83706-4274,202201,6190397986,1145915083,12/24/2021,1/24/2022,32,32.86,292,NULL,6,NULL,75359918
10255635,BOISE STATE UNIVERSITY,2223505682,32585962,11/23/2017,NULL,I01,60315420,1307 S CHRISWAY DR 201 /BOISE ID 83706-4258,202201,6190397986,1161182491,12/24/2021,1/24/2022,32,33.81,302,NULL,5,NULL,75359919
10255635,BOISE STATE UNIVERSITY,2223505682,32585964,11/23/2017,NULL,I01,60340746,1307 S CHRISWAY DR 301 /BOISE ID 83706-4258,202201,6190397986,1513962191,12/24/2021,1/24/2022,32,27.46,235,NULL,4,NULL,75359920
10255635,BOISE STATE UNIVERSITY,2223505682,32585672,11/23/2017,NULL,I01,60264696,1307 S CHRISWAY DR 205 /BOISE ID 83706-4258,202201,6190397986,1054160233,12/24/2021,1/24/2022,32,27.93,240,NULL,4,NULL,75359921
10255635,BOISE STATE UNIVERSITY,2223505682,32585941,11/23/2017,NULL,I01,60071125,1307 S CHRISWAY DR 115 /BOISE ID 83706-4258,202201,6190397986,1084747108,12/24/2021,1/24/2022,32,26.81,228,NULL,7,NULL,75359922
10255635,BOISE STATE UNIVERSITY,2223504115,32582603,10/25/2017,NULL,I01,60325988,1313 S CHRISWAY DR 408 /BOISE ID 83706-3365,202201,6067860335,1575157625,12/24/2021,1/24/2022,32,43.74,407,NULL,3,NULL,75359924
10255635,BOISE STATE UNIVERSITY,2223504115,32582145,10/25/2017,NULL,I01,60404642,1313 S CHRISWAY DR 110 /BOISE ID 83706-3365,202201,6067860335,1529261932,12/24/2021,1/24/2022,32,44.49,415,NULL,4,NULL,75359925
10255635,BOISE STATE UNIVERSITY,2223504115,32582138,10/25/2017,NULL,I01,60092482,1313 S CHRISWAY DR 309 /BOISE ID 83706-3365,202201,6067860335,1452828244,12/24/2021,1/24/2022,32,37.21,338,NULL,6,NULL,75359926
10255635,BOISE STATE UNIVERSITY,2223504115,32582151,10/25/2017,NULL,I01,60257384,1313 S CHRISWAY DR 414 /BOISE ID 83706-3365,202201,6067860335,1115343490,12/24/2021,1/24/2022,32,59.54,574,NULL,4,NULL,75359927
10255635,BOISE STATE UNIVERSITY,2223504115,32582157,10/25/2017,NULL,I01,60347931,1313 S CHRISWAY DR 315 /BOISE ID 83706-3365,202201,6067860335,1145914962,12/24/2021,1/24/2022,32,42.12,390,NULL,5,NULL,75359928
10255635,BOISE STATE UNIVERSITY,2223504115,32582191,10/25/2017,NULL,I01,60350968,1313 S CHRISWAY DR 116 /BOISE ID 83706-3365,202201,6067860335,1191739946,12/24/2021,1/24/2022,32,69.85,683,NULL,6,NULL,75359929
10255635,BOISE STATE UNIVERSITY,2223504115,32582159,10/25/2017,NULL,I01,60493976,1313 S CHRISWAY DR 214 /BOISE ID 83706-3365,202201,6067860335,1544549170,12/24/2021,1/24/2022,32,51.78,492,NULL,4,NULL,75359930
10255635,BOISE STATE UNIVERSITY,2223505682,32585973,11/23/2017,NULL,I01,60376462,1301 S CHRISWAY DR 213 /BOISE ID 83706-4274,202201,6190397986,1130632264,12/24/2021,1/24/2022,32,49.34,466,NULL,6,NULL,75359935
10255635,BOISE STATE UNIVERSITY,2223505682,32585977,11/23/2017,NULL,I01,60332713,1301 S CHRISWAY DR 106 /BOISE ID 83706-4274,202201,6190397986,1498668816,12/24/2021,1/24/2022,32,36.44,330,NULL,4,NULL,75359936
10255635,BOISE STATE UNIVERSITY,2223505682,32585901,11/23/2017,NULL,I01,60299298,1301 S CHRISWAY DR 315 /BOISE ID 83706-4274,202201,6190397986,1100049860,12/24/2021,1/24/2022,32,31.99,283,NULL,8,NULL,75359937
10255635,BOISE STATE UNIVERSITY,2223505682,32585916,11/23/2017,NULL,I01,60486158,1301 S CHRISWAY DR 313 /BOISE ID 83706-4274,202201,6190397986,1130632498,12/24/2021,1/24/2022,32,22.53,183,NULL,5,NULL,75359938
10255635,BOISE STATE UNIVERSITY,2223505682,32585995,11/23/2017,NULL,I01,60124882,1301 S CHRISWAY DR 108 /BOISE ID 83706-4274,202201,6190397986,1054160543,12/24/2021,1/24/2022,32,33.52,299,NULL,5,NULL,75359939
10255635,BOISE STATE UNIVERSITY,2223505682,32585685,11/23/2017,NULL,I01,60172674,1301 S CHRISWAY DR 308 /BOISE ID 83706-4274,202201,6190397986,1145915236,12/24/2021,1/24/2022,32,24.05,199,NULL,5,NULL,75359940
10255635,BOISE STATE UNIVERSITY,2223505682,32585693,11/23/2017,NULL,I01,60353942,1301 S CHRISWAY DR 215 /BOISE ID 83706-4274,202201,6190397986,1100050114,12/24/2021,1/24/2022,32,37.87,345,NULL,6,NULL,75359941
10255635,BOISE STATE UNIVERSITY,2223505682,32585902,11/23/2017,NULL,I01,60443352,1301 S CHRISWAY DR 208 /BOISE ID 83706-4274,202201,6190397986,1452827982,12/24/2021,1/24/2022,32,33.42,298,NULL,5,NULL,75359942
10255635,BOISE STATE UNIVERSITY,2223505682,32585669,11/23/2017,NULL,I01,60125821,1305 S CHRISWAY DR 304 /BOISE ID 83706-4266,202201,6190397986,1100050327,12/24/2021,1/24/2022,32,42.12,390,NULL,6,NULL,75359943
10255635,BOISE STATE UNIVERSITY,2223505682,32585667,11/23/2017,NULL,I01,60166469,1305 S CHRISWAY DR 204 /BOISE ID 83706-4266,202201,6190397986,1130632179,12/24/2021,1/24/2022,32,31.25,275,NULL,6,NULL,75359944
10255635,BOISE STATE UNIVERSITY,2223505682,32585697,11/23/2017,NULL,I01,60104036,1305 S CHRISWAY DR 113 /BOISE ID 83706-4266,202201,6190397986,1513962150,12/24/2021,1/24/2022,32,32.58,289,NULL,5,NULL,75359945
10255635,BOISE STATE UNIVERSITY,2223505682,32585951,11/23/2017,NULL,I01,60171368,1305 S CHRISWAY DR 302 /BOISE ID 83706-4266,202201,6190397986,1513961857,12/24/2021,1/24/2022,32,26.81,228,NULL,5,NULL,75359946
10255635,BOISE STATE UNIVERSITY,2223505682,32585688,11/23/2017,NULL,I01,60506591,1301 S CHRISWAY DR 207 /BOISE ID 83706-4274,202201,6190397986,1468090281,12/24/2021,1/24/2022,32,22.27,180,NULL,6,NULL,75359947
10255635,BOISE STATE UNIVERSITY,2223505682,32585680,11/23/2017,NULL,I01,60481056,1301 S CHRISWAY DR 111 /BOISE ID 83706-4274,202201,6190397986,1575157576,12/24/2021,1/24/2022,32,23.21,190,NULL,6,NULL,75359948
10255635,BOISE STATE UNIVERSITY,2223505682,32585675,11/23/2017,NULL,I01,60150062,1301 S CHRISWAY DR 201 /BOISE ID 83706-4274,202201,6190397986,1483384566,12/24/2021,1/24/2022,32,39.29,360,NULL,6,NULL,75359949
10255635,BOISE STATE UNIVERSITY,2223505682,32585936,11/23/2017,NULL,I01,60005303,1301 S CHRISWAY DR 117 /BOISE ID 83706-4274,202201,6190397986,1161182338,12/24/2021,1/24/2022,32,42.6,395,NULL,6,NULL,75359950
10255635,BOISE STATE UNIVERSITY,2223505682,32585698,11/23/2017,NULL,I01,60161327,1307 S CHRISWAY DR 303 /BOISE ID 83706-4258,202201,6190397986,1130632424,12/24/2021,1/24/2022,32,24.71,206,NULL,4,NULL,75359951
10255635,BOISE STATE UNIVERSITY,2223505682,32585929,11/23/2017,NULL,I01,60383642,1307 S CHRISWAY DR 203 /BOISE ID 83706-4258,202201,6190397986,1513962260,12/24/2021,1/24/2022,32,29.55,257,NULL,4,NULL,75359952
10255635,BOISE STATE UNIVERSITY,2223505682,32585975,11/23/2017,NULL,I01,60112202,1307 S CHRISWAY DR 305 /BOISE ID 83706-4258,202201,6190397986,1084747516,12/24/2021,1/24/2022,32,26.52,225,NULL,5,NULL,75359953
10255635,BOISE STATE UNIVERSITY,2223505682,32585994,11/23/2017,NULL,I01,60233051,1307 S CHRISWAY DR 113 /BOISE ID 83706-4258,202201,6190397986,1145914927,12/24/2021,1/24/2022,32,25.47,214,NULL,0,NULL,75359954
10255635,BOISE STATE UNIVERSITY,2223505682,32585696,11/23/2017,NULL,I01,60352232,1307 S CHRISWAY DR 117 /BOISE ID 83706-4258,202201,6190397986,1084747537,12/24/2021,1/24/2022,32,27.75,238,NULL,2,NULL,75359955
10255635,BOISE STATE UNIVERSITY,2223505682,32585938,11/23/2017,NULL,I01,60229296,1307 S CHRISWAY DR 307 /BOISE ID 83706-4258,202201,6190397986,1084747586,12/24/2021,1/24/2022,32,20.56,162,NULL,5,NULL,75359956
10255635,BOISE STATE UNIVERSITY,2223505682,32585694,11/23/2017,NULL,I01,60501661,1307 S CHRISWAY DR 207 /BOISE ID 83706-4258,202201,6190397986,1590775486,12/24/2021,1/24/2022,32,24.63,205,NULL,5,NULL,75359957
